#Name	GXT	Strand	Mission End Coords 			Cities Unlocked		Phone Activated	Mission Start Coords			Suit Mission	Alternative Mission Start			Stack Size
#			X	Y	Z	Start	End		X	Y	Z		X	Y	Z	
packie1	M_58	13	-533.138	335.099	6.664	2										
packie2	M_59	13	776.742	773.165	2.103	2										
packie3	M_60	13	1402.004	620.306	33.383	2	3	N	842.122	935.903	1.861	Y				
playboy2	M_44	9	-238.668	1449.462	20.452	2										
playboy3	M_45	9	154.539	-917.15	9.237	2										
playboy4	M_46	9	-471.433	1373.423	17.206	2	-1	Y	-272.3428	1507.398	19.4188					
pxdfcut	C10C_M4	9	-424.674	1485.271	18.866	2										
ray1	M_61	14	-525.013	1261.071	17.477	2										
ray2	M_62	14	356.355	-397.008	4.613	2										
ray3	M_63	14	-217.558	941.419	10.849	2										
ray4	M_64	14	-58.295	761.68	14.452	2										
ray5	M_65	14	653.537	271.804	36.58	2										
ray6	M_66	14	-161.92	552.475	14.619	2										
roman1	M_1	0	891.442	-499.426	19.421	1										
roman2	M_2	0	828.471	-263.982	15.046	1										
roman3	M_3	0	893.045	-443.005	15.865	1										
roman4	M_4	0	828.471	-263.982	15.046	1	-1	Y	1183.192	-401.7664	20.4292					
roman5	M_5	0	1065.993	-275.45	20.625	1										
roman6	M_6	0	1483.443	54.503	24.377	1										
roman7	M_7	0	781.154	236.053	4.505	1										
roman9	M_9	0	975.63	-169.539	23.974	1										
roman11	M_11	0	595.589	1401.099	10.964	1	-1	Y	902.8392	560.2173	21.2677					
roman12	M_12	0	594.159	1396.09	10.951	2	-1	Y	1252.699	1488.808	15.7234					
roman13	M_13	0	-537.769	821.743	9.552	2	-1	Y	132.049	1023.759	13.7062					
roman14	M_14	0	774.937	121.135	5.659	3	-1	Y	-1948.928	28.0541	5.4149					
vlad1	M_15	1	924.511	-484.477	15.447	1										
vlad2	M_16	1	1062.378	-346.932	17.588	1										
vlad3	M_17	1	964.061	-327.744	19.24	1										
vlad4	M_18	1	1175.155	-491.674	34.208	1										
